timestamp,pv_power,house_load,tariff_price,prod_price,forecast_pv_power,load_forecast
2026-05-30 00:00:00,0.0,245.0,0.26,0.16,0.0,227.96080497838386
2026-05-30 00:00:30,0.0,250.0,0.26,0.16,0.0,228.4478588188941
2026-05-30 00:01:00,0.0,240.0,0.26,0.16,0.0,227.7884367034312
2026-05-30 00:01:30,0.0,250.0,0.26,0.16,0.0,228.60373045054186
2026-05-30 00:02:00,0.0,240.0,0.26,0.16,0.0,229.51608063698004
2026-05-30 00:02:30,0.0,250.0,0.26,0.16,0.0,228.38588981879562
2026-05-30 00:03:00,0.0,245.0,0.26,0.16,0.0,227.34532223330683
2026-05-30 00:03:30,0.0,240.0,0.26,0.16,0.0,227.12055895069753
2026-05-30 00:04:00,0.0,250.0,0.26,0.16,0.0,228.06607848272165
2026-05-30 00:04:30,0.0,240.0,0.26,0.16,0.0,227.75503789031467
2026-05-30 00:05:00,0.0,245.0,0.26,0.16,0.0,227.54045664689102
2026-05-30 00:05:30,0.0,250.0,0.26,0.16,0.0,227.81540301604838
2026-05-30 00:06:00,0.0,248.3333,0.26,0.16,0.0,227.57883851179653
2026-05-30 00:06:30,0.0,246.6667,0.26,0.16,0.0,226.76371183456556
2026-05-30 00:07:00,0.0,245.0,0.26,0.16,0.0,225.88154097282265
2026-05-30 00:07:30,0.0,243.3333,0.26,0.16,0.0,225.1588958015613
2026-05-30 00:08:00,0.0,241.6667,0.26,0.16,0.0,225.19455672009863
2026-05-30 00:08:30,0.0,240.0,0.26,0.16,0.0,224.92043625136955
2026-05-30 00:09:00,0.0,250.0,0.26,0.16,0.0,225.72851146165848
2026-05-30 00:09:30,0.0,220.0,0.26,0.16,0.0,224.84166401068597
2026-05-30 00:10:00,0.0,180.0,0.26,0.16,0.0,224.0889406503223
2026-05-30 00:10:30,0.0,182.5,0.26,0.16,0.0,223.99630552190476
2026-05-30 00:11:00,0.0,185.0,0.26,0.16,0.0,224.73267707341873
2026-05-30 00:11:30,0.0,187.5,0.26,0.16,0.0,224.42012136794276
2026-05-30 00:12:00,0.0,190.0,0.26,0.16,0.0,224.73451574751644
2026-05-30 00:12:30,0.0,185.0,0.26,0.16,0.0,224.25879996350113
2026-05-30 00:13:00,0.0,180.0,0.26,0.16,0.0,224.44924830448412
2026-05-30 00:13:30,0.0,179.6,0.26,0.16,0.0,224.4826322679409
2026-05-30 00:14:00,0.0,179.2,0.26,0.16,0.0,224.97269344290808
2026-05-30 00:14:30,0.0,178.8,0.26,0.16,0.0,224.4628173997548
2026-05-30 00:15:00,0.0,178.4,0.2582,0.1582,0.0,223.85262487180447
2026-05-30 00:15:30,0.0,178.0,0.2582,0.1582,0.0,224.2051765256925
2026-05-30 00:16:00,0.0,177.6,0.2582,0.1582,0.0,223.61473901244298
2026-05-30 00:16:30,0.0,177.2,0.2582,0.1582,0.0,224.07723358367284
2026-05-30 00:17:00,0.0,176.8,0.2582,0.1582,0.0,224.06420501206645
2026-05-30 00:17:30,0.0,176.4,0.2582,0.1582,0.0,224.77988010656563
2026-05-30 00:18:00,0.0,176.0,0.2582,0.1582,0.0,224.40217410467235
2026-05-30 00:18:30,0.0,175.6,0.2582,0.1582,0.0,223.71291429868165
2026-05-30 00:19:00,0.0,175.2,0.2582,0.1582,0.0,224.10573678771917
2026-05-30 00:19:30,0.0,174.8,0.2582,0.1582,0.0,223.88122006353476
2026-05-30 00:20:00,0.0,174.4,0.2582,0.1582,0.0,223.83794298483
2026-05-30 00:20:30,0.0,174.0,0.2582,0.1582,0.0,223.37878939538248
2026-05-30 00:21:00,0.0,173.6,0.2582,0.1582,0.0,223.68401344170618
2026-05-30 00:21:30,0.0,173.2,0.2582,0.1582,0.0,223.27652461361063
2026-05-30 00:22:00,0.0,172.8,0.2582,0.1582,0.0,223.6376593836509
2026-05-30 00:22:30,0.0,172.4,0.2582,0.1582,0.0,223.0344931816927
2026-05-30 00:23:00,0.0,172.0,0.2582,0.1582,0.0,222.60461735028952
2026-05-30 00:23:30,0.0,171.6,0.2582,0.1582,0.0,222.66542928781703
2026-05-30 00:24:00,0.0,171.2,0.2582,0.1582,0.0,222.25298004677438
2026-05-30 00:24:30,0.0,170.8,0.2582,0.1582,0.0,222.7091914716223
2026-05-30 00:25:00,0.0,170.4,0.2582,0.1582,0.0,223.08906876014467
2026-05-30 00:25:30,0.0,170.0,0.2582,0.1582,0.0,223.27346869991163
2026-05-30 00:26:00,0.0,180.0,0.2582,0.1582,0.0,223.59154944388646
2026-05-30 00:26:30,0.0,206.6667,0.2582,0.1582,0.0,223.8092544780312
2026-05-30 00:27:00,0.0,233.3333,0.2582,0.1582,0.0,223.92513617941222
2026-05-30 00:27:30,0.0,260.0,0.2582,0.1582,0.0,224.10651256722502
2026-05-30 00:28:00,0.0,250.0,0.2582,0.1582,0.0,223.61844322763648
2026-05-30 00:28:30,0.0,240.0,0.2582,0.1582,0.0,223.56976037197677
2026-05-30 00:29:00,0.0,241.4286,0.2582,0.1582,0.0,224.1302839251987
2026-05-30 00:29:30,0.0,242.8571,0.2582,0.1582,0.0,223.91773977029527
2026-05-30 00:30:00,0.0,244.2857,0.2557,0.1557,0.0,223.81613675022217
2026-05-30 00:30:30,0.0,245.7143,0.2557,0.1557,0.0,223.6367060573935
2026-05-30 00:31:00,0.0,247.1429,0.2557,0.1557,0.0,224.57778656707427
2026-05-30 00:31:30,0.0,248.5714,0.2557,0.1557,0.0,223.76327827043036
2026-05-30 00:32:00,0.0,250.0,0.2557,0.1557,0.0,223.1607178756428
2026-05-30 00:32:30,0.0,240.0,0.2557,0.1557,0.0,223.84239559972883
2026-05-30 00:33:00,0.0,250.0,0.2557,0.1557,0.0,223.30088139943663
2026-05-30 00:33:30,0.0,260.0,0.2557,0.1557,0.0,223.1383625357367
2026-05-30 00:34:00,0.0,240.0,0.2557,0.1557,0.0,222.74427960369613
2026-05-30 00:34:30,0.0,239.4118,0.2557,0.1557,0.0,222.20319272690884
2026-05-30 00:35:00,0.0,238.8235,0.2557,0.1557,0.0,222.24234820713792
2026-05-30 00:35:30,0.0,238.2353,0.2557,0.1557,0.0,221.85867911549803
2026-05-30 00:36:00,0.0,237.6471,0.2557,0.1557,0.0,222.234356386896
2026-05-30 00:36:30,0.0,237.0588,0.2557,0.1557,0.0,222.64355951285094
2026-05-30 00:37:00,0.0,236.4706,0.2557,0.1557,0.0,222.7541221753466
